x-coordinate,y-coordinate,date,time
65.62,804.17,2024-10-30,19:19:42.785829
65.62,804.17,2024-10-30,19:19:42.835202
65.62,804.17,2024-10-30,19:19:42.842233
65.62,804.17,2024-10-30,19:19:42.857628
65.62,804.17,2024-10-30,19:19:42.874122
64.06,808.33,2024-10-30,19:19:42.889156
64.06,804.17,2024-10-30,19:19:42.935441
64.06,804.17,2024-10-30,19:19:42.968413
64.06,804.17,2024-10-30,19:19:43.002189
65.62,804.17,2024-10-30,19:19:43.033424
65.62,804.17,2024-10-30,19:19:43.067388
65.62,804.17,2024-10-30,19:19:43.101537
65.62,804.17,2024-10-30,19:19:43.128430
65.62,804.17,2024-10-30,19:19:43.162312
65.62,804.17,2024-10-30,19:19:43.211716
65.62,804.17,2024-10-30,19:19:43.240382
65.62,804.17,2024-10-30,19:19:43.272047
65.62,804.17,2024-10-30,19:19:43.303733
65.62,804.17,2024-10-30,19:19:43.335836
65.62,804.17,2024-10-30,19:19:43.367537
65.62,804.17,2024-10-30,19:19:43.401488
96.88,843.75,2024-10-30,19:19:43.448007
96.88,843.75,2024-10-30,19:19:43.464223
96.88,843.75,2024-10-30,19:19:43.480543
96.88,843.75,2024-10-30,19:19:43.510070
96.88,843.75,2024-10-30,19:19:43.577948
96.88,843.75,2024-10-30,19:19:43.611374
96.88,843.75,2024-10-30,19:19:43.640173
96.88,843.75,2024-10-30,19:19:43.672243
96.88,843.75,2024-10-30,19:19:43.681766
96.88,843.75,2024-10-30,19:19:43.719050
96.88,843.75,2024-10-30,19:19:43.752190
96.88,843.75,2024-10-30,19:19:43.784329
96.88,843.75,2024-10-30,19:19:43.814487
96.88,843.75,2024-10-30,19:19:43.848060
96.88,843.75,2024-10-30,19:19:43.878317
96.88,843.75,2024-10-30,19:19:43.912455
228.12,318.75,2024-10-30,19:19:43.950628
228.12,316.67,2024-10-30,19:19:43.997683
228.12,316.67,2024-10-30,19:19:44.033989
228.12,316.67,2024-10-30,19:19:44.066003
228.12,316.67,2024-10-30,19:19:44.087989
228.12,316.67,2024-10-30,19:19:44.119896
228.12,316.67,2024-10-30,19:19:44.152056
228.12,318.75,2024-10-30,19:19:44.184143
228.12,316.67,2024-10-30,19:19:44.216147
228.12,318.75,2024-10-30,19:19:44.263540
228.12,316.67,2024-10-30,19:19:44.295901
229.69,318.75,2024-10-30,19:19:44.329313
228.12,316.67,2024-10-30,19:19:44.361134
228.12,316.67,2024-10-30,19:19:44.394082
228.12,316.67,2024-10-30,19:19:44.428022
228.12,316.67,2024-10-30,19:19:44.455545
228.12,316.67,2024-10-30,19:19:44.505004
228.12,316.67,2024-10-30,19:19:44.536589
228.12,316.67,2024-10-30,19:19:44.568378
228.12,316.67,2024-10-30,19:19:44.601503
228.12,316.67,2024-10-30,19:19:44.632011
228.12,316.67,2024-10-30,19:19:44.663065
228.12,316.67,2024-10-30,19:19:44.696847
228.12,316.67,2024-10-30,19:19:44.728022
228.12,318.75,2024-10-30,19:19:44.779025
228.12,318.75,2024-10-30,19:19:44.811228
228.12,316.67,2024-10-30,19:19:44.842222
228.12,316.67,2024-10-30,19:19:44.872351
228.12,316.67,2024-10-30,19:19:44.904456
228.12,316.67,2024-10-30,19:19:44.936103
228.12,316.67,2024-10-30,19:19:44.968947
101.56,837.50,2024-10-30,19:19:45.000572
101.56,837.50,2024-10-30,19:19:45.015806
103.12,835.42,2024-10-30,19:19:45.048276
101.56,837.50,2024-10-30,19:19:45.079295
95.31,845.83,2024-10-30,19:19:45.112240
218.75,320.83,2024-10-30,19:19:45.178285
207.81,325.00,2024-10-30,19:19:45.211400
207.81,333.33,2024-10-30,19:19:45.247471
87.50,850.00,2024-10-30,19:19:45.288277
87.50,850.00,2024-10-30,19:19:45.295728
98.44,820.83,2024-10-30,19:19:45.319278
115.62,787.50,2024-10-30,19:19:45.352019
139.06,739.58,2024-10-30,19:19:45.382849
160.94,679.17,2024-10-30,19:19:45.416237
182.81,616.67,2024-10-30,19:19:45.448185
210.94,566.67,2024-10-30,19:19:45.479474
243.75,527.08,2024-10-30,19:19:45.512105
276.56,504.17,2024-10-30,19:19:45.560091
312.50,495.83,2024-10-30,19:19:45.594018
346.88,497.92,2024-10-30,19:19:45.627250
379.69,504.17,2024-10-30,19:19:45.657367
410.94,495.83,2024-10-30,19:19:45.688320
420.31,502.08,2024-10-30,19:19:45.719564
420.31,506.25,2024-10-30,19:19:45.751367
404.69,512.50,2024-10-30,19:19:45.783109
390.62,516.67,2024-10-30,19:19:45.832318
401.56,522.92,2024-10-30,19:19:45.863276
384.38,522.92,2024-10-30,19:19:45.895706
367.19,527.08,2024-10-30,19:19:45.928291
354.69,529.17,2024-10-30,19:19:45.962450
345.31,527.08,2024-10-30,19:19:45.996793
398.44,620.83,2024-10-30,19:19:46.030265
395.31,627.08,2024-10-30,19:19:46.056264
387.50,637.50,2024-10-30,19:19:46.104911
360.94,647.92,2024-10-30,19:19:46.135212
326.56,645.83,2024-10-30,19:19:46.167022
309.38,645.83,2024-10-30,19:19:46.200718
254.69,531.25,2024-10-30,19:19:46.232088
220.31,529.17,2024-10-30,19:19:46.263509
168.75,522.92,2024-10-30,19:19:46.294460
117.19,518.75,2024-10-30,19:19:46.343738
103.12,627.08,2024-10-30,19:19:46.379114
101.56,641.67,2024-10-30,19:19:46.412351
112.50,541.67,2024-10-30,19:19:46.445075
123.44,547.92,2024-10-30,19:19:46.471637
93.75,602.08,2024-10-30,19:19:46.503369
57.81,808.33,2024-10-30,19:19:46.534764
4.69,987.50,2024-10-30,19:19:46.614491
14.06,970.83,2024-10-30,19:19:46.646071
15.62,964.58,2024-10-30,19:19:46.678474
3.12,987.50,2024-10-30,19:19:46.713236
250.00,579.17,2024-10-30,19:19:46.777944
267.19,545.83,2024-10-30,19:19:46.811319
264.06,558.33,2024-10-30,19:19:46.838202
264.06,558.33,2024-10-30,19:19:46.852018
250.00,570.83,2024-10-30,19:19:46.887634
243.75,560.42,2024-10-30,19:19:46.919077
68.75,833.33,2024-10-30,19:19:46.951185
482.81,508.33,2024-10-30,19:19:46.984240
510.94,485.42,2024-10-30,19:19:47.015289
506.25,460.42,2024-10-30,19:19:47.048106
500.00,500.00,2024-10-30,19:19:47.079436
92.19,685.42,2024-10-30,19:19:47.112123
100.00,685.42,2024-10-30,19:19:47.162241
118.75,708.33,2024-10-30,19:19:47.194003
118.75,685.42,2024-10-30,19:19:47.228148
114.06,664.58,2024-10-30,19:19:47.257680
109.38,645.83,2024-10-30,19:19:47.286968
100.00,647.92,2024-10-30,19:19:47.319418
109.38,693.75,2024-10-30,19:19:47.351417
109.38,697.92,2024-10-30,19:19:47.399965
110.94,704.17,2024-10-30,19:19:47.431177
114.06,702.08,2024-10-30,19:19:47.464084
118.75,693.75,2024-10-30,19:19:47.494225
118.75,689.58,2024-10-30,19:19:47.528144
684.38,114.58,2024-10-30,19:19:47.560323
714.06,127.08,2024-10-30,19:19:47.593446
734.38,135.42,2024-10-30,19:19:47.627450
737.50,135.42,2024-10-30,19:19:47.672200
131.25,625.00,2024-10-30,19:19:47.703667
139.06,629.17,2024-10-30,19:19:47.734716
132.81,620.83,2024-10-30,19:19:47.768350
110.94,581.25,2024-10-30,19:19:47.799127
103.12,541.67,2024-10-30,19:19:47.832394
95.31,545.83,2024-10-30,19:19:47.863523
90.62,537.50,2024-10-30,19:19:47.897394
90.62,537.50,2024-10-30,19:19:47.909912
87.50,529.17,2024-10-30,19:19:47.978152
78.12,522.92,2024-10-30,19:19:48.011620
70.31,500.00,2024-10-30,19:19:48.045188
70.31,479.17,2024-10-30,19:19:48.070472
78.12,466.67,2024-10-30,19:19:48.103442
90.62,460.42,2024-10-30,19:19:48.135282
101.56,454.17,2024-10-30,19:19:48.183302
101.56,454.17,2024-10-30,19:19:48.188309
110.94,431.25,2024-10-30,19:19:48.216298
120.31,408.33,2024-10-30,19:19:48.247076
132.81,377.08,2024-10-30,19:19:48.279594
135.94,356.25,2024-10-30,19:19:48.312213
125.00,300.00,2024-10-30,19:19:48.377400
120.31,252.08,2024-10-30,19:19:48.410360
120.31,252.08,2024-10-30,19:19:48.417392
123.44,222.92,2024-10-30,19:19:48.458151
131.25,204.17,2024-10-30,19:19:48.487827
137.50,187.50,2024-10-30,19:19:48.519958
139.06,162.50,2024-10-30,19:19:48.552313
132.81,137.50,2024-10-30,19:19:48.584037
121.88,118.75,2024-10-30,19:19:48.615752
109.38,100.00,2024-10-30,19:19:48.648167
100.00,87.50,2024-10-30,19:19:48.680227
648.44,568.75,2024-10-30,19:19:48.727720
504.69,633.33,2024-10-30,19:19:48.761244
532.81,593.75,2024-10-30,19:19:48.794013
545.31,560.42,2024-10-30,19:19:48.828328
568.75,525.00,2024-10-30,19:19:48.856055
590.62,512.50,2024-10-30,19:19:48.889368
687.50,504.17,2024-10-30,19:19:48.919688
721.88,456.25,2024-10-30,19:19:48.952078
592.19,462.50,2024-10-30,19:19:49.000445
718.75,468.75,2024-10-30,19:19:49.032434
757.81,441.67,2024-10-30,19:19:49.062860
623.44,441.67,2024-10-30,19:19:49.095034
773.44,433.33,2024-10-30,19:19:49.127268
776.56,408.33,2024-10-30,19:19:49.162071
776.56,387.50,2024-10-30,19:19:49.193612
773.44,364.58,2024-10-30,19:19:49.244367
78.12,839.58,2024-10-30,19:19:49.272144
109.38,787.50,2024-10-30,19:19:49.304002
145.31,745.83,2024-10-30,19:19:49.336147
203.12,629.17,2024-10-30,19:19:49.367675
270.31,560.42,2024-10-30,19:19:49.399177
270.31,533.33,2024-10-30,19:19:49.432426
271.88,472.92,2024-10-30,19:19:49.463515
271.88,472.92,2024-10-30,19:19:49.475048
270.31,416.67,2024-10-30,19:19:49.512184
243.75,385.42,2024-10-30,19:19:49.577524
248.44,395.83,2024-10-30,19:19:49.610477
251.56,414.58,2024-10-30,19:19:49.643367
264.06,450.00,2024-10-30,19:19:49.672154
268.75,512.50,2024-10-30,19:19:49.704229
275.00,556.25,2024-10-30,19:19:49.735145
275.00,556.25,2024-10-30,19:19:49.752085
279.69,618.75,2024-10-30,19:19:49.783609
301.56,614.58,2024-10-30,19:19:49.816634
326.56,637.50,2024-10-30,19:19:49.848031
356.25,643.75,2024-10-30,19:19:49.878783
389.06,643.75,2024-10-30,19:19:49.912206
453.12,633.33,2024-10-30,19:19:49.978030
481.25,645.83,2024-10-30,19:19:50.027965
481.25,645.83,2024-10-30,19:19:50.033990
525.00,656.25,2024-10-30,19:19:50.057323
550.00,675.00,2024-10-30,19:19:50.093098
581.25,677.08,2024-10-30,19:19:50.120143
606.25,691.67,2024-10-30,19:19:50.152064
612.50,712.50,2024-10-30,19:19:50.182994
628.12,722.92,2024-10-30,19:19:50.214473
650.00,737.50,2024-10-30,19:19:50.246250
654.69,733.33,2024-10-30,19:19:50.296020
665.62,727.08,2024-10-30,19:19:50.326650
696.88,725.00,2024-10-30,19:19:50.362197
656.25,716.67,2024-10-30,19:19:50.395279
679.69,735.42,2024-10-30,19:19:50.427411
673.44,754.17,2024-10-30,19:19:50.460503
673.44,781.25,2024-10-30,19:19:50.488084
685.94,820.83,2024-10-30,19:19:50.520400
681.25,839.58,2024-10-30,19:19:50.569402
678.12,858.33,2024-10-30,19:19:50.598655
671.88,870.83,2024-10-30,19:19:50.631179
664.06,881.25,2024-10-30,19:19:50.662317
653.12,889.58,2024-10-30,19:19:50.694226
631.25,904.17,2024-10-30,19:19:50.726598
612.50,914.58,2024-10-30,19:19:50.760083
601.56,920.83,2024-10-30,19:19:50.793633
590.62,927.08,2024-10-30,19:19:50.845332
579.69,935.42,2024-10-30,19:19:50.872168
568.75,941.67,2024-10-30,19:19:50.903490
557.81,945.83,2024-10-30,19:19:50.935301
548.44,947.92,2024-10-30,19:19:50.968030
542.19,945.83,2024-10-30,19:19:50.999419
506.25,929.17,2024-10-30,19:19:51.031377
506.25,929.17,2024-10-30,19:19:51.043702
492.19,918.75,2024-10-30,19:19:51.080010
485.94,904.17,2024-10-30,19:19:51.112444
354.69,875.00,2024-10-30,19:19:51.176507
340.62,862.50,2024-10-30,19:19:51.209837
339.06,843.75,2024-10-30,19:19:51.244905
339.06,825.00,2024-10-30,19:19:51.272282
